,Date,Temperature,Humidity,Air Quality
0,2024-11-04 13:17,35.12,48.33,480.13
2,2024-11-04 13:27,35.74,45.4,428.99
4,2024-11-04 13:42,35.6,46.17,445.87
6,2024-11-04 13:50,36.03,45.5,451.22
8,2024-11-04 14:00,35.88,44.2,474.32
10,2024-11-04 14:10,35.52,44.8,456.51
12,2024-11-04 14:49,36.18,42.5,477.77
14,2024-11-04 15:04,36.82,42.4,470.13
16,2024-11-04 15:14,35.74,44.0,439.14
18,2024-11-04 15:37,36.62,41.33,473.36
20,2024-11-04 15:47,36.3,42.8,455.56
22,2024-11-04 15:57,36.9,41.4,428.99
24,2024-11-04 16:08,35.88,43.2,431.42
26,2024-11-04 16:20,36.3,42.83,453.24
28,2024-11-04 16:27,36.0,43.0,549.04
30,2024-11-04 16:33,35.64,43.0,558.35
32,2024-11-04 16:38,35.44,44.0,562.33
34,2024-11-04 16:44,35.26,44.2,558.35
36,2024-11-04 16:49,34.9,45.4,558.35
38,2024-11-04 16:55,34.7,47.0,562.33
40,2024-11-04 17:00,34.7,47.6,562.33
42,2024-11-04 17:05,34.86,46.0,562.33
44,2024-11-04 17:21,34.7,48.4,554.36
46,2024-11-04 17:36,34.13,50.67,552.59
48,2024-11-04 17:41,32.58,55.0,550.37
50,2024-11-04 17:46,31.8,57.8,558.35
52,2024-11-04 17:52,31.8,58.4,550.37
54,2024-11-04 17:57,31.8,59.0,554.36
56,2024-11-04 18:02,31.8,59.6,558.35
58,2024-11-04 18:07,31.3,60.0,562.63
60,2024-11-04 18:13,31.4,60.4,558.35
62,2024-11-04 18:18,31.7,60.4,562.33
64,2024-11-04 18:23,31.8,60.6,558.35
66,2024-11-04 18:28,31.3,63.4,542.4
68,2024-11-04 18:34,30.84,65.4,562.33
70,2024-11-04 18:39,30.8,66.2,550.37
72,2024-11-04 18:44,30.8,67.0,546.38
74,2024-11-04 18:49,30.4,67.0,542.4
76,2024-11-04 18:55,30.2,67.0,550.37
78,2024-11-04 19:00,30.68,67.0,546.38
80,2024-11-04 19:05,30.2,67.8,542.4
82,2024-11-04 19:10,30.2,67.2,542.4
84,2024-11-04 19:16,30.56,67.2,542.4
86,2024-11-04 19:21,30.2,68.4,542.4
88,2024-11-04 19:26,30.2,68.0,542.4
90,2024-11-04 19:32,30.2,68.2,542.4
92,2024-11-04 19:37,30.2,68.8,542.4
94,2024-11-04 19:42,30.2,68.6,542.4
96,2024-11-04 19:47,29.96,69.6,542.4
98,2024-11-04 19:53,29.8,70.0,542.4
100,2024-11-04 19:58,29.8,70.0,542.4
102,2024-11-04 20:03,29.8,70.2,542.4
104,2024-11-04 20:08,30.12,68.8,542.4
106,2024-11-04 20:14,30.2,68.6,554.36
108,2024-11-04 20:19,30.2,69.0,546.38
110,2024-11-04 20:24,30.2,68.6,550.37
112,2024-11-04 20:29,30.2,68.2,542.4
114,2024-11-04 20:34,30.2,67.4,546.38
116,2024-11-04 20:40,30.2,67.0,542.4
118,2024-11-04 20:45,30.2,67.0,542.4
120,2024-11-04 20:50,30.2,67.0,546.38
